Code,Description,Unit,Mat Cost,Mat Factor,Mat Unit,Labor Cost,Labor Productivity,Labor Unit,Sub Cost,Equip Cost,Equip Productivity,Equip Unit,Other Cost
"12.000040 6"" Rectangular Duct",,,,,,,,,,,,,
12.000040.0009,"6x4 Rectangular - 2"" Insulation",LF,2.95,1.1,,75,7.4,HR,0,0,1,HR,0
12.000040.0010,"6x6 Rectangular - 2"" Insulation",LF,3.18,1.1,,75,6.44,HR,0,0,1,HR,0
12.000040.0020,"6x6 Rectangular - 1"" Lined",LF,4.58,1.1,,75,6.19,HR,0,0,1,HR,0
12.000040.0030,6x6 Rectangular - Mastic,LF,5.5,1.1,,75,4.51,HR,0,0,1,HR,0
12.000040.0040,6x6 Rectangular - Bare,LF,2.5,1.1,,75,7.06,HR,0,0,1,HR,0
12.000040.0050,"6x8 Rectangular - 2"" Insulation",LF,3.71,1.1,,75,6.31,HR,0,0,1,HR,0
12.000040.0060,"6x8 Rectangular - 1"" Lined",LF,5.15,1.1,,75,6.01,HR,0,0,1,HR,0
12.000040.0070,6x8 Rectangular - Mastic,LF,6.42,1.1,,75,4.22,HR,0,0,1,HR,0
12.000040.0080,6x8 Rectangular - Bare,LF,2.92,1.1,,75,6.98,HR,0,0,1,HR,0
12.000040.0090,"6x10 Rectangular - 2"" Insulation",LF,4.24,1.1,,75,6.19,HR,0,0,1,HR,0
12.000040.0100,"6x10 Rectangular - 1"" Lined",LF,5.72,1.1,,75,5.87,HR,0,0,1,HR,0
12.000040.0110,6x10 Rectangular - Mastic,LF,7.33,1.1,,75,3.99,HR,0,0,1,HR,0
12.000040.0120,6x10 Rectangular - Bare,LF,3.33,1.1,,75,6.94,HR,0,0,1,HR,0
12.000040.0130,"6x12 Rectangular - 2"" Insulation",LF,4.77,1.1,,75,6.04,HR,0,0,1,HR,0
12.000040.0140,"6x12 Rectangular - 1"" Lined",LF,6.29,1.1,,75,5.68,HR,0,0,1,HR,0
12.000040.0150,6x12 Rectangular - Mastic,LF,8.25,1.1,,75,3.77,HR,0,0,1,HR,0
12.000040.0160,6x12 Rectangular - Bare,LF,3.75,1.1,,75,6.87,HR,0,0,1,HR,0
