onset	duration	trial_no	event_type	stim_id	response_time
0	33	1	rest		0.0
33	9	2	stimulus	3544143	0.0
42	9	3	stimulus	2480855	0.0
51	9	4	stimulus	2503517	0.0
60	9	5	stimulus	2503517	61.104825
69	9	6	stimulus	4442441	0.0
78	9	7	stimulus	4086273	0.0
87	9	8	stimulus	4587559	0.0
96	9	9	stimulus	4113406	0.0
105	9	10	stimulus	2131653	0.0
114	9	11	stimulus	2769748	0.0
123	9	12	stimulus	4398044	0.0
132	9	13	stimulus	4398044	133.032962
141	9	14	stimulus	3187595	0.0
150	9	15	stimulus	3038480	0.0
159	9	16	stimulus	2090827	0.0
168	9	17	stimulus	4373894	0.0
177	9	18	stimulus	2317335	0.0
186	9	19	stimulus	4284002	0.0
195	9	20	stimulus	4255586	0.0
204	9	21	stimulus	2346627	0.0
213	9	22	stimulus	2391049	0.0
222	9	23	stimulus	3612010	0.0
231	9	24	stimulus	3886762	0.0
240	9	25	stimulus	3792782	0.0
249	9	26	stimulus	1664990	0.0
258	9	27	stimulus	2799175	0.0
267	9	28	stimulus	4273569	0.0
276	9	29	stimulus	3623556	0.0
285	9	30	stimulus	3743279	0.0
294	9	31	stimulus	4123740	0.0
303	9	32	stimulus	4409806	0.0
312	9	33	stimulus	2800213	0.0
321	9	34	stimulus	2800213	322.464508
330	9	35	stimulus	3209910	0.0
339	9	36	stimulus	1726692	0.0
348	9	37	stimulus	2692877	0.0
357	9	38	stimulus	4154565	0.0
366	9	39	stimulus	1518878	0.0
375	9	40	stimulus	2814860	0.0
384	9	41	stimulus	3649909	0.0
393	9	42	stimulus	2808440	0.0
402	9	43	stimulus	2766534	0.0
411	9	44	stimulus	3642806	0.0
420	9	45	stimulus	3642806	427.03903099999997
429	9	46	stimulus	4313503	0.0
438	9	47	stimulus	3394916	0.0
447	9	48	stimulus	3793489	0.0
456	9	49	stimulus	3924679	0.0
465	9	50	stimulus	3345487	0.0
474	9	51	stimulus	2998003	0.0
483	9	52	stimulus	11978233	0.0
492	9	53	stimulus	4497801	0.0
501	9	54	stimulus	3472535	0.0
510	9	55	stimulus	3472535	511.176681
519	9	56	stimulus	3950228	0.0
528	6	57	rest		0.0
