onset	duration	trial_no	event_type	stim_id	response_time
0	33	1	rest	n/a	0
33	9	2	stimulus	4507155	0
42	9	3	stimulus	4387400	0
51	9	4	stimulus	3761084	0
60	9	5	stimulus	3379051	0
69	9	6	stimulus	2882301	0
78	9	7	stimulus	2882301	81.34200609
87	9	8	stimulus	3455488	0
96	9	9	stimulus	3124170	0
105	9	10	stimulus	3124170	111.0348886
114	9	11	stimulus	3584254	0
123	9	12	stimulus	2416519	0
132	9	13	stimulus	4252077	0
141	9	14	stimulus	1677366	0
150	9	15	stimulus	2951358	0
159	9	16	stimulus	2437971	0
168	9	17	stimulus	1621127	0
177	9	18	stimulus	2916179	0
186	9	19	stimulus	2916179	188.3006564
195	9	20	stimulus	2950256	0
204	9	21	stimulus	2690373	0
213	9	22	stimulus	3482252	0
222	9	23	stimulus	3272010	0
231	9	24	stimulus	2274259	0
240	9	25	stimulus	3710193	0
249	9	26	stimulus	1976957	0
258	9	27	stimulus	4254777	0
267	9	28	stimulus	4297750	0
276	9	29	stimulus	3716966	0
285	9	30	stimulus	4210120	0
294	9	31	stimulus	2437136	0
303	9	32	stimulus	4572121	0
312	9	33	stimulus	4572121	314.2722259
321	9	34	stimulus	3767745	0
330	9	35	stimulus	3345837	0
339	9	36	stimulus	2797295	0
348	9	37	stimulus	2071294	0
357	9	38	stimulus	3064758	0
366	9	39	stimulus	2128385	0
375	9	40	stimulus	2824058	0
384	9	41	stimulus	1943899	0
393	9	42	stimulus	1943899	398.154874
402	9	43	stimulus	3122295	0
411	9	44	stimulus	2139199	0
420	9	45	stimulus	4554684	0
429	9	46	stimulus	3452741	0
438	9	47	stimulus	2190790	0
447	9	48	stimulus	3237416	0
456	9	49	stimulus	3626115	0
465	9	50	stimulus	1858441	0
474	9	51	stimulus	3954393	0
483	9	52	stimulus	3941684	0
492	9	53	stimulus	3495258	0
501	9	54	stimulus	4533802	0
510	9	55	stimulus	1443537	0
519	9	56	stimulus	1846331	0
528	6	57	rest	n/a	0
